,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review
,total,GPE,LANGUAGE,POSTCODE,MONEY,LOC,PHONE,LAW,TIME,NORP,EVENT,DATE,ORG,PERSON,PERCENT,PRODUCT,WORK_OF_ART,FAC,total,GPE,LANGUAGE,POSTCODE,MONEY,LOC,PHONE,LAW,TIME,NORP,EVENT,DATE,ORG,PERSON,PERCENT,PRODUCT,WORK_OF_ART,FAC
k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.8815798581215484,0.6163569294257187,0.5934602261416665,1.0,0.9882054925556515,0.9579612923495635,1.0,1.0,0.9129864002855473,0.9182246942781251,0.9963272543059778,0.8821623519165195,0.9669678473887019,0.9945907417207923,1.0,0.9976261869065467,1.0,0.9847736524713039,0.8492651030592803,0.5629165210458711,0.691482167071739,1.0,0.9951187084520416,0.9548550803610965,,1.0,0.8991803867751452,0.8926723878798736,0.9813019390581718,0.9100202842330681,0.9675709085117641,0.9983158034654275,1.0,0.9845607495466452,0.9943910256410257,0.9294565816279693
3,0.9356320470725839,0.7608446380186223,0.7563724307494736,1.0,0.9980770506725942,0.9810432749664296,1.0,1.0,0.954414664287278,0.964026694682195,1.0,0.9382861652385507,0.9856229918553132,0.9990379284410595,1.0,1.0,1.0,0.9963705240359729,0.9146971013595366,0.7185414843916599,0.8394404029237905,1.0,1.0,0.98323411793632,,1.0,0.9505764662975043,0.9522826254472639,0.9944598337950139,0.9544646367912487,0.9836418677058942,1.0,1.0,0.9949851120514026,1.0,0.9726158688612115
4,0.9763260649444585,0.9049199977122582,0.9041280221835781,1.0,0.9998705694942255,0.9949612403100775,1.0,1.0,0.9851621859533942,0.9935921843156521,1.0,0.9768639823939563,0.9968014182582695,0.9998043052837573,1.0,1.0,1.0,0.9999515399112276,0.9658272891358194,0.8692214488861761,0.938584704751873,1.0,1.0,0.9982220658859623,,1.0,0.9883480986794201,0.9935257439996142,1.0,0.9887600983885612,0.9946327776325423,1.0,1.0,1.0,1.0,0.9929542741577628
5,0.9762612999388811,0.9051076853999458,0.9041280221835781,1.0,0.9998705694942255,0.9949612403100775,1.0,1.0,0.9846101790138784,0.9935921843156521,1.0,0.9768045754534435,0.9968014182582695,0.9998043052837573,1.0,1.0,1.0,0.9999515399112276,0.9660754230866643,0.8695674696474217,0.938584704751873,1.0,1.0,0.9982220658859623,,1.0,0.9883480986794201,0.9935257439996142,1.0,0.9887600983885612,0.9946327776325423,1.0,1.0,1.0,1.0,0.9929542741577628
10,0.9939174164102573,0.9753896694456092,0.974158017908018,1.0,1.0,1.0,1.0,1.0,0.9954579338725138,0.9994300738544702,1.0,0.9931037518994769,0.9997271939387167,1.0,1.0,1.0,1.0,1.0,0.9919711958116484,0.9661613035410738,0.9882730455075847,1.0,1.0,1.0,,1.0,0.997994643363928,0.9995040527174284,1.0,0.996985729456924,0.9986246342879257,1.0,1.0,1.0,1.0,0.999198006114816
20,0.9987779690021177,0.9968660389713021,0.9979166666666667,1.0,1.0,1.0,1.0,1.0,0.9987914259006583,1.0,1.0,0.997364374318417,1.0,1.0,1.0,1.0,1.0,1.0,0.9976999110155564,0.9898461297873337,0.9976662777129521,1.0,1.0,1.0,,1.0,0.9998749503566204,1.0,1.0,0.9992922789806964,0.9998015577441217,1.0,1.0,1.0,1.0,1.0
50,0.9999642186688383,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997534611968716,1.0,1.0,1.0,1.0,1.0,1.0,0.9993930033730286,0.9974729998951454,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
