,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review
,total,GPE,LOC,PRODUCT,MONEY,PERCENT,PHONE,POSTCODE,EVENT,DATE,WORK_OF_ART,ORG,TIME,NORP,LANGUAGE,LAW,PERSON,FAC,total,GPE,LOC,PRODUCT,MONEY,PERCENT,PHONE,POSTCODE,EVENT,DATE,WORK_OF_ART,ORG,TIME,NORP,LANGUAGE,LAW,PERSON,FAC
k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.828934244267763,0.5352068974361147,0.9177079669076931,0.985560791033055,0.980177024173465,0.9444444444444444,1.0,1.0,0.9550827423167848,0.8303893291506745,1.0,0.9564117866942563,0.8774132311214534,0.7740646851650006,0.23176799919549093,1.0,0.9825406876171635,0.9796324272797572,0.7996235318773448,0.4710415215171388,0.934729104852955,0.9708150791582706,0.9957954509877587,0.9285714285714286,,1.0,0.9829837752275427,0.8796739645459509,0.996207264957265,0.9566189297320526,0.8521304191429208,0.7892811982584,0.24263954722561853,1.0,0.9945989341753708,0.9024926062413562
3,0.9337549918900577,0.7980946249701224,0.9804134366925062,1.0,0.9986759258508416,1.0,1.0,1.0,1.0,0.9451072774944831,1.0,0.9921481275577205,0.9619041821046777,0.9298393112961615,0.534867674369802,1.0,0.9996590167823045,0.9977799639097894,0.9215067184221052,0.7481087149239561,0.9883927603369597,0.996262341325811,1.0,0.9285714285714286,,1.0,1.0,0.9620421529365857,1.0,0.9859422839488876,0.9637727205081312,0.9429399439842542,0.5694627888096535,1.0,1.0,0.981754183135227
4,0.9630668558404235,0.8756582514565567,1.0,1.0,0.9998207885304661,1.0,1.0,1.0,1.0,0.9706874864815077,1.0,0.9967142644011852,0.9819592833763094,0.9738681174600532,0.6870423000580272,1.0,1.0,0.9993880863064357,0.9551603208353888,0.8435971017811663,0.9940571693015884,0.9988011283497884,1.0,1.0,,1.0,1.0,0.9833905755966456,1.0,0.9932301433207175,0.9829904517588245,0.978899326815889,0.7053881875935555,1.0,1.0,0.9933292337995796
5,0.9769164540095743,0.9258403788693338,0.9976744186046511,1.0,1.0,1.0,1.0,1.0,1.0,0.9845077292904826,1.0,0.9983904901489645,0.9900102214468111,0.9924784034735491,0.7603421576353294,1.0,1.0,0.9999018942719556,0.9709859675184714,0.8940482175749491,0.9987622405874845,1.0,1.0,1.0,,1.0,1.0,0.9933582836411563,1.0,0.9963868942852309,0.9928245323574849,0.9905991882932018,0.7777043981014383,1.0,1.0,0.9968597680433261
10,0.9939118540415419,0.9805955383229393,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9966758593448592,1.0,1.0,0.9983624326545675,0.9991331484049931,0.9069701710326713,1.0,1.0,1.0,0.9919344281832548,0.9732719571505409,1.0,1.0,1.0,1.0,,1.0,1.0,0.9988557864325219,1.0,0.9998678021517561,0.9993641266519127,0.9991095280498664,0.9051214676130235,1.0,1.0,0.9998939321897516
20,0.9982786871081203,0.9989382239382238,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993983487182388,1.0,1.0,0.9995818758401436,1.0,0.961450567179734,1.0,1.0,1.0,0.9991081794304545,0.9979184472572468,1.0,1.0,1.0,1.0,,1.0,1.0,0.9996946980357252,1.0,0.9998444708053249,1.0,1.0,0.9673598377507363,1.0,1.0,1.0
50,0.9999359956633532,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9955632716049382,1.0,1.0,1.0,0.9999637135498516,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9981038506417736,1.0,1.0,1.0
