k,gdf,mondrian-0.0,mondrian-0.1,mondrian-0.2,mondrian-0.3,mondrian-0.4,mondrian-0.5,mondrian-1.0
2,0.469540720345779,0.4146142392733671,0.4023487007611192,0.3913738680938023,0.383560800583692,0.3828000185095952,0.38293810339114176,0.3835773933937547
3,0.5734607910315039,0.4737995980901173,0.4498746165712916,0.4372028853215336,0.4287919971580578,0.42052959613974944,0.4075164236558333,0.4073061350678654
4,0.6383192859646678,0.5136535835663669,0.4824850998018556,0.4653257383408666,0.4601850456854364,0.45354802539381,0.4421217178973073,0.442196029542863
5,0.6695270740088384,0.5472026406529896,0.5086650849752983,0.4888030906923414,0.477293487112217,0.4723567712828805,0.44240476761099934,0.4424790792565551
10,0.7672673633689557,0.6261917487145624,0.5796407083813867,0.5509053354691273,0.5390449736226801,0.5137200745798316,0.4932086113121846,0.4932086113121846
20,0.8717919192541146,0.7069679634261543,0.6491105349192053,0.6151007004265903,0.5869260055211227,0.5834434788656271,0.5385232935781982,0.5385232935781982
50,1.0,0.7711622698390559,0.747878039148394,0.7064414148803354,0.6486268889511316,0.6561733496020888,0.6286554281918489,0.6286554281918489
