,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review
,total,PHONE,DATE,POSTCODE,GPE,PERSON,PERCENT,LAW,LOC,EVENT,ORG,WORK_OF_ART,PRODUCT,TIME,LANGUAGE,FAC,MONEY,NORP,total,PHONE,DATE,POSTCODE,GPE,PERSON,PERCENT,LAW,LOC,EVENT,ORG,WORK_OF_ART,PRODUCT,TIME,LANGUAGE,FAC,MONEY,NORP
k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.8832675251839424,1.0,0.885680938608149,1.0,0.6219758094890433,0.9945907417207923,1.0,1.0,0.9622248582410364,0.9963272543059778,0.9672354989458709,1.0,0.9976261869065467,0.9135098259239882,0.6216375850481923,0.9839119479221542,0.9882054925556515,0.9202080507275009,0.8526623256431423,,0.9133657246185297,1.0,0.5685947515858315,0.9983158034654275,1.0,1.0,0.9560935566688249,0.9813019390581718,0.9696877730511745,0.9943910256410257,0.9866764053999597,0.9034350671736544,0.700126663376679,0.9334357888790749,0.9951187084520416,0.8949331972199348
3,0.9352137333418024,1.0,0.9373325143055639,1.0,0.7600141921881767,0.9990379284410595,1.0,1.0,0.9810432749664296,1.0,0.9856229918553132,1.0,1.0,0.9533126909282454,0.7676089276630537,0.9963705240359729,0.9980770506725942,0.9615024228375348,0.913812197153257,,0.9531738972585001,1.0,0.717229887028587,1.0,1.0,1.0,0.98323411793632,0.9944598337950139,0.9834683388450147,1.0,0.9949851120514026,0.9504035298733788,0.8345895944557126,0.9716271626664086,1.0,0.9516592950821704
4,0.9762888273449062,1.0,0.9768639823939563,1.0,0.9047498275420881,0.9998043052837573,1.0,1.0,0.9949612403100775,1.0,0.9968014182582695,1.0,1.0,0.9851621859533942,0.9058641332946892,0.9999515399112276,0.9998705694942255,0.9935921843156521,0.9657748360364545,,0.9889820669324475,1.0,0.8692777367693904,1.0,1.0,1.0,0.9982220658859623,1.0,0.9944473653893533,1.0,1.0,0.9884751598946899,0.9403349964671588,0.9927763756021012,1.0,0.9935257439996142
5,0.9762240623393287,1.0,0.9768045754534435,1.0,0.9049375152297758,0.9998043052837573,1.0,1.0,0.9949612403100775,1.0,0.9968014182582695,1.0,1.0,0.9846101790138784,0.9058641332946892,0.9999515399112276,0.9998705694942255,0.9935921843156521,0.9660229699872992,,0.9889820669324475,1.0,0.869623757530636,1.0,1.0,1.0,0.9982220658859623,1.0,0.9944473653893533,1.0,1.0,0.9884751598946899,0.9403349964671588,0.9927763756021012,1.0,0.9935257439996142
10,0.9939174164102573,1.0,0.9931037518994769,1.0,0.9753896694456092,1.0,1.0,1.0,1.0,1.0,0.9997271939387167,1.0,1.0,0.9954579338725138,0.974158017908018,1.0,1.0,0.9994300738544702,0.9919711958116484,,0.996985729456924,1.0,0.9661613035410738,1.0,1.0,1.0,1.0,1.0,0.9986246342879257,1.0,1.0,0.997994643363928,0.9882730455075847,0.999198006114816,1.0,0.9995040527174284
20,0.9987779690021177,1.0,0.997364374318417,1.0,0.9968660389713021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9987914259006583,0.9979166666666667,1.0,1.0,1.0,0.9976999110155564,,0.9992922789806964,1.0,0.9898461297873337,1.0,1.0,1.0,1.0,1.0,0.9998015577441217,1.0,1.0,0.9998749503566204,0.9976662777129521,1.0,1.0,1.0
50,0.9999642186688383,1.0,0.9997534611968716,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993930033730286,,1.0,1.0,0.9974729998951454,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
