,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review
,total,LAW,PERSON,MONEY,ORG,EVENT,GPE,LOC,LANGUAGE,PERCENT,WORK_OF_ART,TIME,PRODUCT,PHONE,FAC,DATE,POSTCODE,NORP,total,LAW,PERSON,MONEY,ORG,EVENT,GPE,LOC,LANGUAGE,PERCENT,WORK_OF_ART,TIME,PRODUCT,PHONE,FAC,DATE,POSTCODE,NORP
k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.8772047819816599,1.0,0.9921642199204936,0.961540192867576,0.9546934473397802,0.932771867612293,0.7627077742590059,0.9362015503875969,0.48060889595305417,1.0,0.9847457627118644,0.8937244749706575,0.9775771205306437,1.0,0.9776503745150935,0.8529827032299006,1.0,0.884152803756513,0.8826512410407892,1.0,0.9952520456371551,0.9708167141500473,0.9582505008002887,0.9428901200369346,0.7494966597226896,0.9326404375553562,0.3690352388166059,1.0,0.9740918803418802,0.8860150621273656,0.970194998544787,,0.9400315519007847,0.8934914136378853,1.0,0.8869996108119828
3,0.9658942941502854,1.0,0.9945531637312459,0.9942306805921605,0.9848001917100869,0.9769503546099291,0.9263848913356396,0.9791731266149871,0.8559334396910827,0.8472222222222222,0.9932203389830508,0.9707668763158599,0.9903298350824588,1.0,0.9959555768418035,0.9544518349104019,1.0,0.9766099717131724,0.9639565621395718,1.0,0.9974280943107595,0.982051282051282,0.9853125955018452,0.9755309325946445,0.9121569040416567,0.988439765379174,0.9079040951269656,0.8571428571428571,0.9887820512820513,0.9611955785221988,0.9897160770790143,,0.9824458822617607,0.9726493780442989,1.0,0.9711687319112978
4,0.9877175710074242,1.0,0.9985392787251887,0.9931887204842782,0.9977407139088124,0.97983789260385,0.9699885837781937,1.0,0.9526642401489217,1.0,1.0,0.9890006989182922,1.0,1.0,0.99914553790761,0.985236523334188,1.0,0.9930673587469704,0.9848870076153741,1.0,0.9947179613863428,0.9962393162393162,0.9939781519498689,0.9930747922437673,0.9583910707343849,0.995044273918728,0.9659017243614677,1.0,0.9935897435897436,0.9869749155042797,0.9961212976022567,,0.9946365759391974,0.9907062262860538,1.0,0.9920608489272289
5,0.992010003254332,1.0,0.9972276581865622,0.9963017423050629,0.9940045883156661,0.9946808510638298,0.9818294953662022,0.997743324720069,0.965067812203229,1.0,1.0,0.9938333203832459,0.9947526236881559,1.0,0.9983611354989758,0.9906245069631523,1.0,0.9958717245420498,0.9897786989035258,1.0,0.9982441932593562,0.9945299145299145,0.995676316657649,0.9944598337950139,0.9694589836549113,0.9980177050814171,0.9736483858420848,1.0,1.0,0.9955684466930168,0.993041842971321,,0.9961279600101469,0.9921701755108044,1.0,0.9957007356054841
10,0.9982540404686918,1.0,1.0,0.9988475706889686,0.999574239013409,1.0,0.9921565685642261,1.0,0.9976851851851852,1.0,1.0,0.9987786827635204,1.0,1.0,0.9996275307952219,0.9992219512767857,1.0,1.0,0.9977800513197729,1.0,1.0,1.0,0.9983414904589283,1.0,0.9915328680497538,0.9994595406645267,0.998288603656165,1.0,1.0,0.999325021721178,1.0,,0.9992408679179388,0.9997526636225266,1.0,1.0
20,0.9995586374584798,1.0,1.0,1.0,1.0,1.0,0.9986577486577487,1.0,1.0,1.0,1.0,0.9995059278742758,1.0,1.0,0.9998118650445252,0.9989210049748297,1.0,1.0,0.9993097828777707,1.0,1.0,1.0,0.9999721468052657,1.0,0.9977627572768236,1.0,1.0,1.0,1.0,0.9999443649658242,1.0,,0.9997931054081327,0.999845031407957,1.0,1.0
50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
