,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review
,total,PRODUCT,NORP,EVENT,PERCENT,WORK_OF_ART,ORG,LOC,PHONE,MONEY,POSTCODE,PERSON,FAC,TIME,LANGUAGE,LAW,GPE,DATE,total,PRODUCT,NORP,EVENT,PERCENT,WORK_OF_ART,ORG,LOC,PHONE,MONEY,POSTCODE,PERSON,FAC,TIME,LANGUAGE,LAW,GPE,DATE
k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.8243017027010131,0.986736393707908,0.8134725661694512,0.9810874704491724,0.9444444444444444,1.0,0.9483636700409613,0.906178786760182,1.0,0.9793387122758783,1.0,0.9811821470338737,0.9840696182073426,0.8690369467974313,0.22507654795456097,1.0,0.5160942230529234,0.8295841642052889,0.7986084237486367,0.9791381852951987,0.808604886811599,0.9813019390581719,0.8571428571428571,0.9897435897435898,0.9566658915418998,0.9213172266356208,,0.9964126305792972,1.0,0.9950288035418142,0.8996393558387179,0.8503912331036025,0.28362711210466546,1.0,0.46646852176106285,0.8601583153286899
3,0.9364337099877814,1.0,0.9331045902644872,1.0,1.0,1.0,0.9902923119097958,0.990869939707149,1.0,0.9993418406411135,1.0,0.9987797554333758,0.9983058573213136,0.9602036266157217,0.5685924873130143,1.0,0.8088757093856499,0.943716403760952,0.9258194376706423,1.0,0.9655694487543443,1.0,1.0,1.0,0.9879217406173207,0.9885155699017857,,1.0,1.0,0.9994446109632034,0.9804822343612143,0.960287161730255,0.6286684241468373,1.0,0.758516240127536,0.9610270784385607
4,0.9696935841191485,1.0,0.9753283603625548,1.0,1.0,1.0,0.997009131330919,0.9979328165374678,1.0,1.0,1.0,0.9998188011886642,0.9993880863064357,0.982833199075039,0.7420799739325068,1.0,0.9089568569479521,0.973573768393688,0.9631156135909845,1.0,0.9878157129191557,1.0,1.0,1.0,0.9945356588277977,0.9976346035210302,,1.0,1.0,1.0,0.993312452570244,0.9863805922079204,0.7689142634883596,1.0,0.8687731308651674,0.9815118527512224
5,0.975429838209942,1.0,0.9952363021921018,1.0,1.0,1.0,0.9980357120336775,0.9968992248062015,1.0,1.0,1.0,0.9996824252411852,0.9999018942719556,0.9889075964926469,0.7764773249097189,1.0,0.9170194674806713,0.9827173006995183,0.9700302919757324,1.0,0.9955092404727293,1.0,1.0,1.0,0.995962907885128,0.9990379341706065,,1.0,1.0,1.0,0.9956666583266519,0.9937392424632151,0.8049269907557696,1.0,0.8917007836804874,0.9917762403553712
10,0.9955360566903019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9980072579484001,0.9539411976911978,1.0,0.9838841987067869,0.9964835141266394,0.9916246639269672,1.0,1.0,1.0,1.0,1.0,0.9997504962337384,1.0,,1.0,1.0,1.0,0.9996264125333343,0.9990089275213597,0.9013500057027051,1.0,0.9699713655130491,0.9988824812208914
20,0.9975173620911268,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995583369919532,0.9610591761633429,1.0,0.9942828859866397,0.9992259924003104,0.9978025296039807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.975488970383953,1.0,0.9913212792258012,0.9994838331864405
50,0.999864039811243,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9935378086419753,1.0,1.0,1.0,0.9993824305626474,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.9963535589264878,1.0,0.9980807225682778,1.0
