,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review
,total,MONEY,FAC,PRODUCT,LOC,WORK_OF_ART,LAW,PERSON,TIME,POSTCODE,NORP,ORG,GPE,DATE,EVENT,LANGUAGE,PHONE,PERCENT,total,MONEY,FAC,PRODUCT,LOC,WORK_OF_ART,LAW,PERSON,TIME,POSTCODE,NORP,ORG,GPE,DATE,EVENT,LANGUAGE,PHONE,PERCENT
k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.83048623276566,0.9824987140094092,0.9819530069475392,0.9922038980509744,0.9006567795076689,1.0,1.0,0.9829642031286163,0.8738953726175736,1.0,0.7621275421450389,0.9634442506670706,0.53487989818802,0.8345156559631688,0.9654255319148937,0.2227618914914665,1.0,0.9444444444444444,0.8100934337936855,0.997069597069597,0.9160953833814776,0.984723300108201,0.9275621523226443,0.9896367521367521,1.0,0.9964413825114222,0.849558934048098,1.0,0.7811549241039555,0.9549696523695831,0.4998607599895843,0.882156779063529,0.994690674053555,0.2483555672356877,,0.9285714285714286
3,0.9363642736358584,0.9993171960281385,0.9991597195960149,1.0,0.9949792630230385,1.0,1.0,0.9992432020473013,0.9641817723678551,1.0,0.9171235852898956,0.9911439529225593,0.8066398954168862,0.9469415590417231,1.0,0.5271659710032703,1.0,1.0,0.926653089632944,1.0,0.9826126737073246,0.9958265523850857,0.9892442354856702,1.0,1.0,0.999626340301094,0.9671214660585726,1.0,0.9424537351966432,0.9874939885138528,0.7698560271870519,0.9644957987319625,0.9914589104339797,0.5758939532629882,,0.9285714285714286
4,0.9669791819598483,1.0,1.0,1.0,0.9990771502399409,1.0,1.0,0.999559686888454,0.9842763602343897,1.0,0.970363839517341,0.9962346065249995,0.9018989015369037,0.9739231404257375,1.0,0.6777025989699603,1.0,1.0,0.9608518217235257,1.0,0.9936342883588123,1.0,0.9961754363416413,1.0,1.0,1.0,0.9879510978744753,1.0,0.983554290611996,0.9947259303196316,0.8693801689389383,0.9856642812307803,1.0,0.6997787089093976,,1.0
5,0.9782858057009511,1.0,1.0,1.0,0.9968992248062015,1.0,1.0,1.0,0.9913346521923159,1.0,0.983790924962747,0.9982621057753166,0.9326203991441044,0.9825546753836504,1.0,0.7508761351439049,1.0,1.0,0.974883702511037,1.0,0.9977618899620279,1.0,0.9995767928593412,1.0,1.0,1.0,0.9931934789580437,1.0,0.9901287095486746,0.996582833094621,0.9128640780625764,0.9934058291522678,1.0,0.762508809947857,,1.0
10,0.9942549699759132,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9980861147384035,1.0,0.9966747572815534,1.0,0.9858655750102541,0.9965938404891238,1.0,0.9065405209502434,1.0,1.0,0.9926834253532256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993651172546208,1.0,1.0,0.9995642362621152,0.9756997116823627,0.9991306085240187,1.0,0.9062674919504131,,1.0
20,0.9989718733844383,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998923178581044,1.0,1.0,1.0,0.9991441441441441,0.9995925481363713,1.0,0.9601002585377587,1.0,1.0,0.99877068186358,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998209010769196,0.9976558067826999,1.0,1.0,0.9600016669444909,,1.0
50,0.9992421462347849,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9953703703703703,1.0,1.0,0.9998923526058,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9950311162971608,,1.0
