k,gdf,mondrian-0.0,mondrian-0.1,mondrian-0.2,mondrian-0.3,mondrian-0.4,mondrian-0.5,mondrian-1.0
2,0.8799280115112245,0.8224998882213513,0.8202898332796728,0.8142788880725539,0.811455063224825,0.8384103804977079,0.8654224805904143,0.8679649254135423
3,0.9649254281449288,0.9372204327251408,0.9315086816344011,0.9276308551560816,0.9311265738292118,0.9322999635549348,0.9251645742160602,0.9245129652475296
4,0.9863022893113992,0.967611060861978,0.963915501841687,0.9591135883379062,0.9664045988550664,0.9702084485143692,0.9710766770401388,0.9710318316906804
5,0.9908943510789288,0.9836654710316256,0.976584754105994,0.9739512107640228,0.9727300650928372,0.9802656000405852,0.9711683615127726,0.971123516163314
10,0.9980170458942323,0.9964906569266962,0.9934691976645694,0.9929231411123984,0.9935803603086346,0.9933498862252272,0.9929443061109527,0.9929443061109527
20,0.9994342101681252,0.999063942485848,0.9988712776240092,0.9986934332692874,0.9976599458475538,0.9983373797896892,0.9982389400088372,0.9982389400088372
50,1.0,0.999893344295808,0.9995672494202924,0.9999498546066024,0.9996232351869452,0.9997009704721648,0.9996786110209336,0.9996786110209336
