,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review
,total,NORP,LANGUAGE,PERSON,FAC,MONEY,LAW,PRODUCT,PHONE,DATE,EVENT,POSTCODE,ORG,WORK_OF_ART,TIME,LOC,GPE,PERCENT,total,NORP,LANGUAGE,PERSON,FAC,MONEY,LAW,PRODUCT,PHONE,DATE,EVENT,POSTCODE,ORG,WORK_OF_ART,TIME,LOC,GPE,PERCENT
k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.827984676982507,0.7384340788505429,0.20916120254010792,0.9827033475920501,0.9811289453981163,0.9838623622774495,1.0,0.9906296851574211,1.0,0.8264236467490165,0.9340256670043906,1.0,0.957018459809013,0.9966101694915255,0.8681757464138159,0.9058839222792712,0.5587972171371944,0.9444444444444444,0.8170150994601957,0.766409720040045,0.2486880862932574,0.9952800349753896,0.9247643857803793,0.9941951566951567,1.0,0.9764758039904651,,0.8753008352942093,0.9759926131117268,1.0,0.9548046209192819,0.9973290598290597,0.8448641424770882,0.9240185924667077,0.5216695299284987,0.9285714285714286
3,0.9405652116272967,0.9178242817945992,0.5453101499636085,0.9988910632746248,0.9987366222025437,1.0,1.0,1.0,1.0,0.9450679699097652,1.0,1.0,0.9916835265722008,1.0,0.9657105256993131,0.9917128091546696,0.8316745707003149,1.0,0.9338756538229847,0.9436030060031316,0.5671327052307215,1.0,0.9865207348178968,1.0,1.0,0.9972595052853482,,0.9613345134126214,1.0,1.0,0.9907853758415422,1.0,0.9661049297269468,0.9909951258151146,0.8029348326711777,0.9285714285714286
4,0.9687218220506362,0.9690937700237647,0.6774785078604525,1.0,1.0,1.0,1.0,1.0,1.0,0.973589717806478,1.0,1.0,0.9973108517648775,1.0,0.9852783778308262,0.9990771502399409,0.9151574282495362,1.0,0.9665002996733196,0.9774941581139811,0.7092656768330785,1.0,0.996326001312831,1.0,1.0,0.9984348696483007,,0.9845505507335791,1.0,1.0,0.9955526964365794,1.0,0.9872603001097762,0.9981844461068838,0.896470287540394,1.0
5,0.9835450568770201,0.9814668358910851,0.7595002915264357,1.0,1.0,1.0,1.0,1.0,1.0,0.9842223647355118,0.9970449172576831,1.0,0.9992591920004567,1.0,0.99218388749642,1.0,0.9688066568792354,1.0,0.9837858851862313,0.9933380805674844,0.7608354249897579,1.0,0.9988111730896679,1.0,1.0,1.0,,0.9929018901793881,1.0,1.0,0.9972882341335279,1.0,0.9945448766310461,0.9987402717319616,0.9558087346574003,1.0
10,0.9959489468729511,0.9987055016181229,0.9155469209288655,1.0,1.0,1.0,1.0,1.0,1.0,0.9974662385630767,1.0,1.0,1.0,1.0,0.9983817035508425,1.0,0.9992251022952777,1.0,0.9970323669804414,1.0,0.8998194143468357,1.0,1.0,1.0,1.0,1.0,,0.9989874541813597,1.0,1.0,0.9998133915487902,1.0,0.9993997098722156,1.0,0.9974048442906575,1.0
20,0.9991470059251485,1.0,0.9637593694885362,1.0,1.0,1.0,1.0,1.0,1.0,0.9996960486322187,1.0,1.0,1.0,1.0,0.9998041742186525,1.0,1.0,1.0,0.9989808790465478,1.0,0.9606712229816082,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.9997874654013444,1.0,1.0,1.0,1.0,1.0
50,0.9998947635019502,1.0,0.9953703703703703,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998919250896661,1.0,0.9922598210812915,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
