k,gdf,mondrian-0.0,mondrian-0.1,mondrian-0.2,mondrian-0.3,mondrian-0.4,mondrian-0.5,mondrian-1.0
2,0.6747343659285017,0.6185570637473592,0.611319267020396,0.6028263780831781,0.5975079319042584,0.6106051995036516,0.624180291990778,0.6257711594036485
3,0.7691931095882163,0.7055100154076289,0.6906916491028463,0.6824168702388076,0.6799592854936348,0.6764147798473422,0.6663404989359467,0.6659095501576975
4,0.8123107876380334,0.7406323222141724,0.7232003008217713,0.7122196633393865,0.7132948222702514,0.7118782369540896,0.7065991974687231,0.7066139306167717
5,0.8302107125438836,0.7654340558423076,0.7426249195406461,0.7313771507281821,0.7250117761025271,0.7263111856617328,0.706786564561886,0.7068012977099345
10,0.8826422046315942,0.8113412028206293,0.7865549530229781,0.7719142382907629,0.7663126669656574,0.7535349804025294,0.7430764587115688,0.7430764587115688
20,0.93561306471112,0.8530159529560012,0.8239909062716073,0.8068970668479388,0.7922929756843382,0.790890429327658,0.7683811167935176,0.7683811167935176
50,1.0,0.885527807067432,0.8737226442843433,0.8531956347434688,0.8241250620690383,0.8279371600371268,0.8141670196063913,0.8141670196063913
