attribute,PHONE,POSTCODE,LANGUAGE,MAIL,PERCENT,LAW,NORP,LOC,EVENT,MONEY,URL,FAC,GPE,PRODUCT,TIME,DATE,WORK_OF_ART,ORG,PERSON
negative_review,1,7,30,0,30,12,293,480,161,2089,0,3452,1058,842,4311,2672,290,3887,2273
positive_review,0,8,30,0,25,3,344,1370,244,625,0,14070,2512,892,2366,1993,349,9444,5728
