,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,10,10,10,10,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,50,50,50,50
,"mon, $\lambda=0.0$","mon, $\lambda=0.1$","mon, $\lambda=0.2$","mon, $\lambda=0.3$","mon, $\lambda=0.4$","mon, $\lambda=0.5$","mon, $\lambda=0.6$","mon, $\lambda=0.7$","mon, $\lambda=0.8$","mon, $\lambda=0.9$","mon, $\lambda=1.0$","mon, $\lambda=0.0$","mon, $\lambda=0.1$","mon, $\lambda=0.2$","mon, $\lambda=0.3$","mon, $\lambda=0.4$","mon, $\lambda=0.5$","mon, $\lambda=0.6$","mon, $\lambda=0.7$","mon, $\lambda=0.8$","mon, $\lambda=0.9$","mon, $\lambda=1.0$","mon, $\lambda=0.0$","mon, $\lambda=0.1$","mon, $\lambda=0.2$","mon, $\lambda=0.3$","mon, $\lambda=0.4$","mon, $\lambda=0.5$","mon, $\lambda=0.6$","mon, $\lambda=0.7$","mon, $\lambda=0.8$","mon, $\lambda=0.9$","mon, $\lambda=1.0$","mon, $\lambda=0.0$","mon, $\lambda=0.1$","mon, $\lambda=0.2$","mon, $\lambda=0.3$","mon, $\lambda=0.4$","mon, $\lambda=0.5$","mon, $\lambda=0.6$","mon, $\lambda=0.7$","mon, $\lambda=0.8$","mon, $\lambda=0.9$","mon, $\lambda=1.0$","mon, $\lambda=0.0$","mon, $\lambda=0.1$","mon, $\lambda=0.2$","mon, $\lambda=0.3$","mon, $\lambda=0.4$","mon, $\lambda=0.5$","mon, $\lambda=0.6$","mon, $\lambda=0.7$","mon, $\lambda=0.8$","mon, $\lambda=0.9$","mon, $\lambda=1.0$","mon, $\lambda=0.0$","mon, $\lambda=0.1$","mon, $\lambda=0.2$","mon, $\lambda=0.3$","mon, $\lambda=0.4$","mon, $\lambda=0.5$","mon, $\lambda=0.6$","mon, $\lambda=0.7$","mon, $\lambda=0.8$","mon, $\lambda=0.9$","mon, $\lambda=1.0$","mon, $\lambda=0.0$","mon, $\lambda=0.1$","mon, $\lambda=0.2$","mon, $\lambda=0.3$","mon, $\lambda=0.4$","mon, $\lambda=0.5$","mon, $\lambda=0.6$","mon, $\lambda=0.7$","mon, $\lambda=0.8$","mon, $\lambda=0.9$","mon, $\lambda=1.0$"
relational,0,93,129,207,424,543,553,553,553,553,553,0,85,107,188,337,408,416,416,416,416,416,0,84,98,160,233,254,255,255,255,255,255,0,67,91,128,197,253,254,254,254,254,254,0,47,60,83,106,127,127,127,127,127,127,0,22,35,41,45,63,63,63,63,63,63,0,4,9,19,17,19,19,19,19,19,19
textual,644,541,511,437,185,14,0,0,0,0,0,397,315,296,215,68,6,0,0,0,0,0,292,209,196,124,34,1,0,0,0,0,0,225,163,132,83,11,1,0,0,0,0,0,116,67,51,22,6,0,0,0,0,0,0,53,33,15,8,2,0,0,0,0,0,0,20,17,10,4,2,0,0,0,0,0,0
