,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,10,10,10,10,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,50,50,50,50
,"mon, $\lambda=0.0$","mon, $\lambda=0.1$","mon, $\lambda=0.2$","mon, $\lambda=0.3$","mon, $\lambda=0.4$","mon, $\lambda=0.5$","mon, $\lambda=0.6$","mon, $\lambda=0.7$","mon, $\lambda=0.8$","mon, $\lambda=0.9$","mon, $\lambda=1.0$","mon, $\lambda=0.0$","mon, $\lambda=0.1$","mon, $\lambda=0.2$","mon, $\lambda=0.3$","mon, $\lambda=0.4$","mon, $\lambda=0.5$","mon, $\lambda=0.6$","mon, $\lambda=0.7$","mon, $\lambda=0.8$","mon, $\lambda=0.9$","mon, $\lambda=1.0$","mon, $\lambda=0.0$","mon, $\lambda=0.1$","mon, $\lambda=0.2$","mon, $\lambda=0.3$","mon, $\lambda=0.4$","mon, $\lambda=0.5$","mon, $\lambda=0.6$","mon, $\lambda=0.7$","mon, $\lambda=0.8$","mon, $\lambda=0.9$","mon, $\lambda=1.0$","mon, $\lambda=0.0$","mon, $\lambda=0.1$","mon, $\lambda=0.2$","mon, $\lambda=0.3$","mon, $\lambda=0.4$","mon, $\lambda=0.5$","mon, $\lambda=0.6$","mon, $\lambda=0.7$","mon, $\lambda=0.8$","mon, $\lambda=0.9$","mon, $\lambda=1.0$","mon, $\lambda=0.0$","mon, $\lambda=0.1$","mon, $\lambda=0.2$","mon, $\lambda=0.3$","mon, $\lambda=0.4$","mon, $\lambda=0.5$","mon, $\lambda=0.6$","mon, $\lambda=0.7$","mon, $\lambda=0.8$","mon, $\lambda=0.9$","mon, $\lambda=1.0$","mon, $\lambda=0.0$","mon, $\lambda=0.1$","mon, $\lambda=0.2$","mon, $\lambda=0.3$","mon, $\lambda=0.4$","mon, $\lambda=0.5$","mon, $\lambda=0.6$","mon, $\lambda=0.7$","mon, $\lambda=0.8$","mon, $\lambda=0.9$","mon, $\lambda=1.0$","mon, $\lambda=0.0$","mon, $\lambda=0.1$","mon, $\lambda=0.2$","mon, $\lambda=0.3$","mon, $\lambda=0.4$","mon, $\lambda=0.5$","mon, $\lambda=0.6$","mon, $\lambda=0.7$","mon, $\lambda=0.8$","mon, $\lambda=0.9$","mon, $\lambda=1.0$"
relational,0,530,573,535,640,553,553,553,553,553,553,0,365,336,337,358,416,416,416,416,416,416,0,244,295,283,323,255,255,255,255,255,255,0,213,183,196,199,254,254,254,254,254,254,0,105,87,96,96,127,127,127,127,127,127,0,50,39,47,47,63,63,63,63,63,63,0,11,17,18,18,19,19,19,19,19,19
textual,73,72,73,98,16,0,0,0,0,0,0,48,42,43,38,3,0,0,0,0,0,0,34,31,22,28,3,0,0,0,0,0,0,31,22,17,14,2,0,0,0,0,0,0,16,11,7,4,2,0,0,0,0,0,0,12,8,5,2,2,0,0,0,0,0,0,6,6,3,2,2,0,0,0,0,0,0
