,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,10,10,10,10,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,50,50,50,50
,"mon, $\lambda=0.0$","mon, $\lambda=0.1$","mon, $\lambda=0.2$","mon, $\lambda=0.3$","mon, $\lambda=0.4$","mon, $\lambda=0.5$","mon, $\lambda=0.6$","mon, $\lambda=0.7$","mon, $\lambda=0.8$","mon, $\lambda=0.9$","mon, $\lambda=1.0$","mon, $\lambda=0.0$","mon, $\lambda=0.1$","mon, $\lambda=0.2$","mon, $\lambda=0.3$","mon, $\lambda=0.4$","mon, $\lambda=0.5$","mon, $\lambda=0.6$","mon, $\lambda=0.7$","mon, $\lambda=0.8$","mon, $\lambda=0.9$","mon, $\lambda=1.0$","mon, $\lambda=0.0$","mon, $\lambda=0.1$","mon, $\lambda=0.2$","mon, $\lambda=0.3$","mon, $\lambda=0.4$","mon, $\lambda=0.5$","mon, $\lambda=0.6$","mon, $\lambda=0.7$","mon, $\lambda=0.8$","mon, $\lambda=0.9$","mon, $\lambda=1.0$","mon, $\lambda=0.0$","mon, $\lambda=0.1$","mon, $\lambda=0.2$","mon, $\lambda=0.3$","mon, $\lambda=0.4$","mon, $\lambda=0.5$","mon, $\lambda=0.6$","mon, $\lambda=0.7$","mon, $\lambda=0.8$","mon, $\lambda=0.9$","mon, $\lambda=1.0$","mon, $\lambda=0.0$","mon, $\lambda=0.1$","mon, $\lambda=0.2$","mon, $\lambda=0.3$","mon, $\lambda=0.4$","mon, $\lambda=0.5$","mon, $\lambda=0.6$","mon, $\lambda=0.7$","mon, $\lambda=0.8$","mon, $\lambda=0.9$","mon, $\lambda=1.0$","mon, $\lambda=0.0$","mon, $\lambda=0.1$","mon, $\lambda=0.2$","mon, $\lambda=0.3$","mon, $\lambda=0.4$","mon, $\lambda=0.5$","mon, $\lambda=0.6$","mon, $\lambda=0.7$","mon, $\lambda=0.8$","mon, $\lambda=0.9$","mon, $\lambda=1.0$","mon, $\lambda=0.0$","mon, $\lambda=0.1$","mon, $\lambda=0.2$","mon, $\lambda=0.3$","mon, $\lambda=0.4$","mon, $\lambda=0.5$","mon, $\lambda=0.6$","mon, $\lambda=0.7$","mon, $\lambda=0.8$","mon, $\lambda=0.9$","mon, $\lambda=1.0$"
relational,0,201,259,412,1488,7412,8079,8079,8079,8079,8079,0,201,250,402,1349,4898,5127,5127,5127,5127,5127,0,193,252,396,1213,3633,3748,3748,3748,3748,3748,0,189,247,391,1124,2864,2963,2963,2963,2963,2963,0,188,242,362,769,1404,1430,1430,1430,1430,1430,0,155,182,348,462,691,702,702,702,702,702,0,131,138,195,219,265,272,272,272,272,272
textual,8218,8075,7983,7889,6818,773,88,88,88,88,0,5161,5024,4983,4833,3888,299,52,52,52,52,0,3794,3647,3576,3444,2641,166,32,32,32,32,0,2970,2838,2783,2631,1899,114,23,23,23,23,0,1411,1282,1217,1099,696,36,10,10,10,10,0,691,554,532,358,257,19,8,8,8,8,0,277,154,144,84,63,12,3,3,3,3,0
