,negative_review,negative_review,positive_review,positive_review
,total,GPE,total,GPE
k,,,,
2,0.4024297341486922,0.4024297341486922,0.3754305963569,0.3754305963569
3,0.6950931396141873,0.6950931396141873,0.6629415150199824,0.6629415150199824
4,0.7604198618199878,0.7604198618199878,0.7340065421598931,0.7340065421598931
5,0.8756812179322535,0.8756812179322535,0.8537271578160995,0.8537271578160995
10,0.9633091424616766,0.9633091424616766,0.9485809439159683,0.9485809439159683
20,0.9901819131598545,0.9901819131598545,0.9855477024181919,0.9855477024181919
50,0.9967981717981718,0.9967981717981718,0.9962868649704014,0.9962868649704014
