k,gdf,mondrian-0.0,mondrian-0.1,mondrian-0.2,mondrian-0.3,mondrian-0.4,mondrian-0.5,mondrian-1.0
2,0.6287712793525773,0.8370842382138901,0.4018221491878622,0.3797677929638286,0.4044651368777621,0.4085713908711383,0.489431336965596,0.489431336965596
3,0.8489062486942474,0.8539508870625878,0.5217443880084394,0.5444750835128824,0.5637657543839253,0.5850038772569027,0.5729640873381237,0.5729640873381237
4,0.9099071133571353,0.8617738717612471,0.6042719326497357,0.5858093128884776,0.6030431094703975,0.6038555147935103,0.6646049058493011,0.6646049058493011
5,0.9569915369845874,0.8639428361744041,0.6313982691903582,0.6610342592614105,0.664698023646003,0.6751724613841172,0.6648798578183805,0.6648798578183805
10,1.0,0.8767127414987886,0.7147634765317266,0.7354824376015912,0.732739613008596,0.7347831944487614,0.7319920489027631,0.7319920489027631
20,1.0,0.8919581008077051,0.7658111114261714,0.7792598332001175,0.7731184286472894,0.7731184286472894,0.765939688978758,0.765939688978758
50,1.0,0.915771948297024,0.8391932543166638,0.8130112998137107,0.8141793973372758,0.8141793973372758,0.8136959640697109,0.8136959640697109
