,negative_review,negative_review,positive_review,positive_review
,total,GPE,total,GPE
k,,,,
2,0.4491440119243948,0.4491440119243948,0.42343270905001246,0.42343270905001246
3,0.7245410974807339,0.7245410974807339,0.706524138518787,0.706524138518787
4,0.7888871803002107,0.7888871803002107,0.7718846693599157,0.7718846693599157
5,0.8822182997236698,0.8822182997236698,0.8637791723177862,0.8637791723177862
10,0.958719545825415,0.958719545825415,0.9513482162352731,0.9513482162352731
20,0.9850635307006281,0.9850635307006281,0.9801322742011899,0.9801322742011899
50,0.9963960496129615,0.9963960496129615,0.9934949880282122,0.9934949880282122
