,negative_review,negative_review,positive_review,positive_review
,total,GPE,total,GPE
k,,,,
2,0.4607666143542785,0.4607666143542785,0.43160456407504283,0.43160456407504283
3,0.761960701580275,0.761960701580275,0.7432978732145915,0.7432978732145915
4,0.791268366382377,0.791268366382377,0.7744518753168659,0.7744518753168659
5,0.8966072456077138,0.8966072456077138,0.8808847055877537,0.8808847055877537
10,0.9605602520778861,0.9605602520778861,0.9542691813796627,0.9542691813796627
20,0.9850635307006281,0.9850635307006281,0.9801322742011899,0.9801322742011899
50,0.9963960496129615,0.9963960496129615,0.9934949880282122,0.9934949880282122
