,negative_review,negative_review,positive_review,positive_review
,total,GPE,total,GPE
k,,,,
2,0.9798439410571761,0.9798439410571761,0.9639192671120294,0.9639192671120294
3,0.9951765733015732,0.9951765733015732,0.9872744694417033,0.9872744694417033
4,0.9977276383526383,0.9977276383526383,0.9928798371328387,0.9928798371328387
5,0.9977276383526383,0.9977276383526383,0.9937936868356158,0.9937936868356158
10,1.0,1.0,0.9979074997816086,0.9979074997816086
20,1.0,1.0,0.9979074997816086,0.9979074997816086
50,1.0,1.0,1.0,1.0
