k,gdf,mondrian-0.0,mondrian-0.1,mondrian-0.2,mondrian-0.3,mondrian-0.4,mondrian-0.5,mondrian-1.0
2,0.4187296116854737,0.2697424882534428,0.12242739605110466,0.111225061527284,0.09711310217885616,0.07787647972076901,0.04811381773663433,0.04821458183137721
3,0.6135892996256348,0.3727356070991425,0.1612294995068551,0.14437349494793697,0.1231404040025704,0.09601139379592677,0.059549166396920185,0.05964467790848736
4,0.7160050536168864,0.4302557562472703,0.18689689469180185,0.16651275190593207,0.137890836595919,0.10669957919700264,0.06812756674018311,0.06816324696149886
5,0.7726680872336028,0.4706553298545595,0.20634092461207054,0.18282376411963194,0.14762316264611264,0.11430049602163815,0.07436376754449217,0.07420772596199286
10,0.8966408879807547,0.5847684007850787,0.2617973410394558,0.22993299259128575,0.1749753546295373,0.13777899762912255,0.0981478252839976,0.09796537368784493
20,0.9654853049722496,0.6836145703604026,0.3161675384793836,0.2711763261798465,0.2120627089997614,0.17062004533950126,0.12948890640280025,0.12968815391420396
50,0.9972164554594436,0.7784893481467073,0.3847819834753907,0.3295337763918308,0.28221452861115376,0.2324620138554567,0.18141565902704127,0.18159846882615
