,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text
,total,MONEY,LOC,DATE,GPE,EVENT,MAIL,LAW,PERCENT,PRODUCT,ORG,TIME,FAC,NORP,LANGUAGE,PHONE,POSTCODE,URL,PERSON,WORK_OF_ART
k,,,,,,,,,,,,,,,,,,,,
2,0.8801455650434301,0.9347026246280368,0.9292038151377979,0.7555136658452407,0.9272767190257308,0.9411190588470487,0.9248279240388657,0.9305560502514554,0.9249177463316878,0.9498497383461779,0.9524323492631812,0.8197359877459244,0.9521320885199961,0.9099922066006987,0.8502795729804347,0.7391304347826086,0.9107506352709661,0.9542277793380544,0.9504847717616756,0.9563688619196665
3,0.9759749451957817,0.9848135410631155,0.9826191278064916,0.9504942103217366,0.9841828309824395,0.9871888929334705,0.9877257583727863,0.9736092049168245,0.9853786422440217,0.9885504292485635,0.9895670821518591,0.9643874861747038,0.9869759143335799,0.9796455598596688,0.9627257467777505,1.0,0.9899665551839465,0.9916118185615882,0.9881043963443745,0.9907547711811411
4,0.9894852399770971,0.9943923128373164,0.9931568292889807,0.9764522299109129,0.9943160878999241,0.9948386865938571,0.9957916885849553,0.9932278746099761,0.9939844666042577,0.9945086948557761,0.99527423577627,0.9872789448746742,0.9947538402819645,0.9925344690496024,0.9893270370620171,1.0,1.0,0.9966576650776292,0.9949510146100917,0.994853676526017
5,0.9942988186308452,0.9978414165321129,0.9975907164726338,0.9868812832549172,0.997405582000835,0.998113599946178,0.9983216853285238,0.9979416259472755,0.9977830776856397,0.9978959754776644,0.9973143887661893,0.9931006346600398,0.9973548110767115,0.9973167201728049,0.9960400137430675,1.0,1.0,0.9989258330963062,0.9970616789514779,0.9979352152088865
10,0.9988356608409236,0.9996750296368867,0.9999655267512411,0.9972040897376898,0.9998270157080645,0.9994412588151942,1.0,0.9999392166546367,0.9999626123732404,0.999529527746363,0.9994571705078716,0.9987302491843194,0.9992603784279619,0.9996145495178229,0.9996376811594204,1.0,1.0,0.9998570961946758,0.9993183371921266,0.9994886254299918
20,0.9997294758551654,1.0,0.9999934709756138,0.9993481906919747,0.999914497105163,1.0,1.0,1.0,1.0,0.9999038716520816,0.9998735429878609,0.9997330903691669,0.9999923449347066,0.9999226194701063,1.0,1.0,1.0,0.9998758330928299,0.9998590320320341,0.999923176639068
50,0.9999889159665133,1.0,1.0,0.9999846431566605,0.9999721942713496,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999945503115487,0.9999901583794202
