,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text
,total,LAW,TIME,PERSON,PRODUCT,MONEY,FAC,NORP,GPE,LOC,URL,ORG,EVENT,WORK_OF_ART,PERCENT,PHONE,LANGUAGE,MAIL,POSTCODE,DATE
k,,,,,,,,,,,,,,,,,,,,
2,0.9117034912490566,0.9987072512212439,0.8611960396579,0.9892679057508331,0.9981431094455111,0.9938904240925756,0.9992932209876412,0.9623063879589974,0.9779182517066194,0.9906602561603508,0.9988635564534369,0.9937721687543198,0.9933330244856565,0.9962961995111983,0.9793339627561571,1.0,0.9062344716532453,1.0,1.0,0.7734577275306279
3,0.9718424462793307,1.0,0.9622413218103102,0.9992786104669333,0.9999703568698937,0.999736516069681,0.9999950226742076,0.9959454878754314,0.9979584183954987,0.9993708712817659,0.9999879402745644,0.9995663246232547,0.9999085491411991,0.9999089807861286,0.9986910119476429,1.0,0.9824229970085033,1.0,1.0,0.9204994335219492
4,0.9872971386942186,1.0,0.9853104555237373,0.9998748975382187,1.0,0.9999848259118248,1.0,0.9994375404370227,0.9998033418815943,1.0,1.0,0.9999615289924704,1.0,0.9999931173808424,0.9998781994939427,1.0,0.995915515460139,1.0,1.0,0.9626212638680544
5,0.9935201685075082,1.0,0.9935485695457903,0.9999858458460023,1.0,0.9999955857198036,1.0,0.999807326265944,0.9999477594801401,1.0,1.0,0.999993593934277,1.0,1.0,1.0,1.0,0.9993252361673414,1.0,1.0,0.9805366787615529
10,0.9992919254556252,1.0,0.9992927802679781,1.0,1.0,1.0,1.0,0.9999775996654884,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977540402805879
20,0.9999203641571894,1.0,0.9999543893983567,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997113782441555
50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
