,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text
,total,EVENT,POSTCODE,MONEY,FAC,PERSON,PERCENT,DATE,WORK_OF_ART,LANGUAGE,GPE,NORP,URL,ORG,PRODUCT,LOC,PHONE,TIME,MAIL,LAW
k,,,,,,,,,,,,,,,,,,,,
2,0.8760586672209826,0.9664144702599463,0.939799331103679,0.9662172799064266,0.9728156803570054,0.968115130829297,0.8377098579033434,0.7251751360206741,0.9761565942492939,0.4092557172034125,0.9235683575208763,0.7631556274394666,0.9727884595638786,0.9738517917580818,0.974839556219909,0.9579549702155103,0.9130434782608695,0.8196401071654025,0.9445028932140979,0.9493070626954015
3,0.9576208993529531,0.9937974353774458,0.979933110367893,0.9942522786392848,0.995576799198312,0.9952316933197439,0.9538284765773613,0.8912265141946997,0.9958390115953356,0.6905057105451432,0.9860521659461484,0.9290676117694078,0.9946585809251599,0.9959392290218643,0.9954544791624661,0.9932528343622101,1.0,0.9419527475002099,0.9884972821322112,0.9875245911537645
4,0.9786227364299681,0.9986498505052015,0.9933110367892977,0.998836311326451,0.9987640079739551,0.9988536042173466,0.9808955355111196,0.9409225272261956,0.9992666827538191,0.7953675863354794,0.9960217641900921,0.9715071086968095,0.9988222432395968,0.999081957252495,0.9989239433509935,0.9980921673403595,1.0,0.9724283661898503,0.9969139049623006,0.9981195626465346
5,0.9873757785974079,0.9997064554222016,1.0,0.9997599485466706,0.999791581031558,0.999732562589652,0.991166359076296,0.9638514100344134,0.9998483555160889,0.8555101179530606,0.9986086486471772,0.9874996360817289,0.9997658298988386,0.999852529074566,0.9998136885056587,0.9995335593039492,1.0,0.9848433572710871,0.9990180606698229,0.9989775734782005
10,0.9977638106577775,1.0,1.0,1.0,1.0,0.9999971414228984,0.9995017334063189,0.9930642012106944,1.0,0.9587483408207638,0.9999682838454178,0.9995769319150305,1.0,1.0,1.0,1.0,1.0,0.9979350463877671,1.0,1.0
20,0.9996377531120516,1.0,1.0,1.0,1.0,1.0,1.0,0.9986511650832923,1.0,0.9927437137048121,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997601168864915,1.0,1.0
50,0.9999744845367364,1.0,1.0,1.0,1.0,1.0,1.0,0.9999024394536405,1.0,0.9993162570965775,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
