,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text
,total,LANGUAGE,DATE,GPE,NORP,LOC,LAW,URL,PRODUCT,PERSON,ORG,TIME,PERCENT,POSTCODE,EVENT,FAC,PHONE,MONEY,MAIL,WORK_OF_ART
k,,,,,,,,,,,,,,,,,,,,
2,0.8943107081867526,0.47516612235334516,0.7395379686570557,0.9604987892753805,0.8632673250129886,0.9802349929861713,0.9877941170220405,0.9925516951957069,0.9923987837064947,0.9830777351349804,0.9887473464918846,0.8391489682301043,0.9392234598416651,0.9866220735785953,0.9856285935531328,0.993764313679577,1.0,0.9871662270666035,0.9837796314387582,0.9921980924979906
3,0.9636774887805815,0.7392977868097887,0.8996290490610428,0.9952700329894375,0.9704832899975393,0.9979530042006817,0.9982943804349991,0.9992323493915851,0.9993756020995419,0.9985629089068916,0.9991795331776077,0.9491767340368322,0.9887531250860861,1.0,0.9990154161137614,0.9995689779772432,1.0,0.9990226935963873,1.0,0.9994011174384968
4,0.981701587745384,0.8343765511397166,0.946583340688107,0.9988465568580129,0.9919044639165494,0.9994488733969094,1.0,1.0,1.0,0.9997843855018156,0.9998976724932849,0.9777028986484201,0.9971419393801647,1.0,0.9999862429831572,1.0,1.0,0.9999512413040803,1.0,0.999968398859278
5,0.9895379968293482,0.8968125862411674,0.9688388798074443,0.9995091755217312,0.9969618255069655,1.0,1.0,1.0,1.0,0.9999847403824024,0.9999787908160584,0.9890460648257694,0.998740195144027,1.0,1.0,1.0,1.0,1.0,1.0,0.9999961221482004
10,0.998179776265057,0.9822074627916982,0.9939814785945074,1.0,0.9999763018683301,1.0,1.0,1.0,1.0,0.9999995572161363,1.0,0.9985162535822719,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,0.9998118186486356,0.9992502920420542,0.9992156827138661,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999055419608545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,0.999979576229485,1.0,0.9999125433358795,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999820259517603,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
