,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text
,total,WORK_OF_ART,PERSON,PERCENT,FAC,DATE,LOC,LAW,EVENT,ORG,TIME,MAIL,NORP,POSTCODE,GPE,PRODUCT,LANGUAGE,MONEY,PHONE,URL
k,,,,,,,,,,,,,,,,,,,,
2,0.8985145938456701,0.9932779735734204,0.9860954852803226,0.9544213025839975,0.9961862678797778,0.7459069016838827,0.9814382061988602,0.990131680443679,0.9906276621024495,0.9914718636740507,0.8395161456140313,0.9917286641116205,0.8971541705218595,0.9933110367892977,0.9675396162379208,0.9952195142871095,0.5260048766532402,0.9901921490567803,1.0,0.995338256930791
3,0.9652458593770357,0.9997399125243788,0.9989739836000608,0.994208608710211,1.0,0.902444117252654,0.9982529801134327,0.9997980707132399,0.9997560705704959,0.9992554343021919,0.9490783053622877,1.0,0.982122237051086,1.0,0.9965534849782232,0.9998578681021446,0.780760122588223,0.9997284579871093,1.0,0.9998979258533399
4,0.9826023284092955,0.9999774312425113,0.9997942093930499,0.9992681035435981,1.0,0.9494135489999821,0.9996797455962351,1.0,0.9999862429831572,0.999867773869064,0.9782608853217107,1.0,0.9954804326450414,1.0,0.9993443305355122,1.0,0.8741562779235368,0.999973100480053,1.0,1.0
5,0.9902042946768961,0.9999986638295679,0.9999401410586277,0.9998015595888653,1.0,0.9703329733398045,0.9999726009491635,1.0,1.0,0.9999854313433838,0.9893247435605282,1.0,0.9985825359809006,1.0,0.9997405746649847,1.0,0.9203101961184847,1.0,1.0,1.0
10,0.998486740082414,1.0,1.0,1.0,1.0,0.9950905878026329,1.0,1.0,1.0,1.0,0.9988225044123274,1.0,1.0,1.0,1.0,1.0,0.9862498379681695,1.0,1.0,1.0
20,0.9998885523055759,1.0,1.0,1.0,1.0,0.9995877752391883,1.0,1.0,1.0,1.0,0.9998656379780554,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,0.9999883838443573,1.0,1.0,1.0,1.0,0.9999642287522174,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
