,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text
,total,PRODUCT,NORP,FAC,MAIL,URL,MONEY,LAW,PHONE,TIME,LANGUAGE,PERCENT,WORK_OF_ART,GPE,POSTCODE,PERSON,DATE,LOC,ORG,EVENT
k,,,,,,,,,,,,,,,,,,,,
2,0.8912259363008385,0.9880078611132024,0.8384646552753077,0.989836996419485,0.9780349523642528,0.9880904949600869,0.982292787721749,0.9781621685832834,1.0,0.836730111208023,0.4595129944310917,0.9126857041513,0.9889694751159898,0.951457458320052,0.9732441471571907,0.9809857881343345,0.7398680360644174,0.9743293542854929,0.985757787667423,0.9808891235945647
3,0.9615504233619878,0.9986360429060729,0.9610947725976916,0.9991458453471022,0.9959202758781928,0.9988588289256721,0.9991430950389172,0.997989251311441,1.0,0.9447552545602865,0.7202757017164659,0.9833268662663494,0.9990651589331222,0.9928761869143953,1.0,0.9977758339850799,0.8948946996684266,0.9967966381848108,0.9984399229548289,0.9987484592613715
4,0.9814898762681439,0.9999870613031501,0.9865911375622354,1.0,1.0,1.0,0.9999898717810265,0.9996981938060083,1.0,0.975757497218795,0.8362260644476378,0.9945914437604462,0.9999531861469638,0.9984105755537928,1.0,0.9996748174624431,0.9463638739855446,0.9994915861085127,0.999806108566568,0.9999976909715139
5,0.9889244984094746,1.0,0.9925432942472479,1.0,1.0,1.0,1.0,1.0,1.0,0.9864025260034158,0.8868945665431694,0.9965035760635947,0.9999830989408316,0.9993714776921457,1.0,0.9998336575926721,0.9669601930710625,0.9997619233282583,0.9999399239619798,1.0
10,0.9980542942471752,1.0,0.9996593281710411,1.0,1.0,1.0,1.0,1.0,1.0,0.9980241394972599,0.9794048746698901,1.0,1.0,0.9999768378717828,1.0,1.0,0.9936356001409877,1.0,1.0,1.0
20,0.9997189271355992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998053058672282,0.9980736953028867,1.0,1.0,1.0,1.0,1.0,0.9990189026912157,1.0,1.0,1.0
50,0.9999817449744883,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999820259517603,1.0,1.0,1.0,1.0,1.0,1.0,0.9999370901361557,1.0,1.0,1.0
