k,gdf,mondrian-0.0,mondrian-0.1,mondrian-0.2,mondrian-0.3,mondrian-0.4,mondrian-0.5,mondrian-1.0
2,0.8801455650434301,0.8760586672209826,0.885308199116134,0.8912259363008385,0.8943107081867526,0.8985145938456701,0.9089436285958206,0.9117034912490566
3,0.9759749451957817,0.9576208993529532,0.96041073442477,0.9615504233619878,0.9636774887805816,0.9652458593770356,0.9709622962425872,0.9718424462793308
4,0.9894852399770973,0.978622736429968,0.9806040725710048,0.981489876268144,0.981701587745384,0.9826023284092956,0.9869210890533932,0.9872971386942186
5,0.9942988186308452,0.987375778597408,0.9885276037098452,0.9889244984094746,0.9895379968293482,0.990204294676896,0.9934221138739134,0.9935201685075082
10,0.9988356608409236,0.9977638106577776,0.9977990963428132,0.9980542942471752,0.998179776265057,0.998486740082414,0.9992340656199792,0.9992919254556252
20,0.9997294758551654,0.9996377531120516,0.9997011275896468,0.9997189271355992,0.9998118186486356,0.999888552305576,0.9999182138997278,0.9999203641571894
50,0.9999889159665132,0.9999744845367364,0.999969622743142,0.9999817449744884,0.999979576229485,0.9999883838443572,1.0,1.0
