,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text
,total,PERSON,MONEY,TIME,PHONE,PRODUCT,NORP,ORG,LANGUAGE,LAW,DATE,WORK_OF_ART,PERCENT,POSTCODE,EVENT,URL,GPE,MAIL,FAC,LOC
k,,,,,,,,,,,,,,,,,,,,
2,0.885308199116134,0.9769398743321691,0.9778704627308207,0.8309249771137217,1.0,0.9838568638595234,0.8087372386917153,0.9822299372485642,0.43933234185411935,0.9682424432329179,0.7330952464785649,0.9853091688529129,0.8916166535319858,0.939799331103679,0.9776112325395073,0.9835643310530626,0.9460250878320112,0.9685467687571843,0.985540464710755,0.9689290392981948
3,0.96041073442477,0.9975470309109397,0.9978202758268724,0.9439086725853996,1.0,0.9985519405975206,0.9518920180659618,0.9983148545655302,0.7136488082085125,0.9966003992982528,0.8942312499354864,0.998779759236872,0.9729408670499929,1.0,0.997317587281332,0.9984233187684427,0.9908865422673125,0.9959252857727344,0.9985483006382039,0.9964645711882124
4,0.9806040725710049,0.9995426359363182,0.9997091424090265,0.9735424799701885,1.0,0.9997823878587602,0.982649179968181,0.9996935375598955,0.8248424476253656,1.0,0.9453577466359525,0.9997488497652983,0.9907714690976845,1.0,0.9995456517448027,0.9997550220480157,0.9978368983429444,0.9989479221462388,0.9997952328169025,0.9993487911604816
5,0.9885276037098453,0.9998723148298911,1.0,0.9849940959135852,1.0,1.0,0.9923157481610345,0.9999654037413054,0.8790584380530729,1.0,0.9665429196246564,0.9999449082737628,0.9963177782392871,1.0,1.0,1.0,0.9994524581570916,1.0,1.0,0.9998181680773546
10,0.9977990963428133,0.9999862186186733,1.0,0.9975895679867739,1.0,1.0,0.9996071501626925,0.9999951992649517,0.9737222983778562,1.0,0.993001291066332,1.0,1.0,1.0,1.0,1.0,0.9999708471667925,1.0,1.0,1.0
20,0.9997011275896468,1.0,1.0,0.9997585721095678,1.0,1.0,1.0,1.0,0.9973599538568197,1.0,0.9988579449446795,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,0.9999696227431419,1.0,1.0,0.9999698848278293,1.0,1.0,1.0,1.0,1.0,1.0,0.999884809847661,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
