,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text
,total,DATE,MAIL,URL,PHONE,POSTCODE,LAW,PERCENT,NORP,GPE,LOC,PERSON,EVENT,WORK_OF_ART,LANGUAGE,ORG,PRODUCT,TIME,MONEY,FAC
k,,,,,,,,,,,,,,,,,,,,
2,0.9089436285958206,0.7674325328440537,0.9968437664387164,0.9985968026834985,1.0,1.0,0.9978714802224976,0.9794776840807066,0.9583619886405271,0.9759207733170387,0.9895742116180068,0.9882181261809372,0.9921686101098571,0.9960192776031569,0.8114877274394632,0.9929178170930084,0.9975441992209259,0.8572438337188528,0.9934517153221469,0.9987071720507773
3,0.9709622962425871,0.9176509164777468,1.0,0.9999879402745644,1.0,1.0,1.0,0.9986910119476429,0.9959224131949141,0.9980384503489889,0.9993708712817659,0.9993074053965378,0.9999085491411991,0.9999109121310791,0.9464251537657269,0.9996208293809209,0.9999703568698937,0.960981322207393,0.9996915526643465,0.9999950226742076
4,0.9869210890533932,0.961179011765188,1.0,1.0,1.0,1.0,1.0,0.9998781994939427,0.999278145932908,0.9997559500194505,1.0,0.9998793417151471,1.0,0.9999931173808424,0.9807448832700562,0.9999615289924704,1.0,0.985068144239583,0.9999848259118248,1.0
5,0.9934221138739134,0.9802188134572664,1.0,1.0,1.0,1.0,1.0,1.0,0.9996970579526039,0.9999477594801401,1.0,0.999987454793429,1.0,1.0,0.9897489524205773,0.999993593934277,1.0,0.9933978726808413,0.9999955857198036,1.0
10,0.9992340656199792,0.9976012857094649,1.0,1.0,1.0,1.0,1.0,1.0,0.9999775996654884,1.0,1.0,1.0,1.0,1.0,0.9994719239570499,1.0,1.0,0.9992496593344764,1.0,1.0
20,0.9999182138997278,0.9997015992303102,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999543893983567,1.0,1.0
50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
